geocode_name;lat;lon;factories
dongguan;23.01797;113.74866;9
shanghai;31.22222;121.45806;4
guangzhou;23.11667;113.25;3
phnom penh;11.56245;104.91601;3
lapu-lapu city;10.31028;123.94944;3
zhongshan;34.93806;105.8775;2
tangerang;-6.17806;106.63;2
san pedro;25.75602;-102.98385;2
long an;23.1685;107.69217;2
johor bahru;1.4655;103.7578;2
la paz;10.8925;124.95583;2
jiangshan;36.67806;120.52917;2
tay ninh;36.62554;101.75739;2
chittagong;22.3384;91.83168;2
shantou;23.36814;116.71479;2
shaoxing;30.00237;120.57864;1
tijuana;32.5027;-117.00371;1
tlaxcala;19.31905;-98.19982;1
taipei;25.04776;121.53185;1
yogyakarta;-7.80139;110.36472;1
tainan;22.99083;120.21333;1
taichung;24.1469;120.6839;1
suzhou;31.30408;120.59538;1
singapore;1.28967;103.85007;1
shenzhen;22.54554;114.0683;1
yulin;31.67517;109.48636;1
bandung;-6.92222;107.60694;1
serang;-6.11528;106.15417;1
san miguel petapa;14.50189;-90.56196;1
bangkok;13.75398;100.50144;1
samut sakhon;13.54753;100.27362;1
qinzhou;21.98247;108.65061;1
nasr city;30.06667;31.3;1
jiaxing;30.7522;120.75;1
jakarta;-6.21462;106.84513;1
jacaleapa;14.01667;-86.66667;1
haining;30.53629;120.68638;1
guatemala;14.56111;-90.73444;1
caborca;30.71825;-112.15822;1
san juan opico;13.87611;-89.35972;1
