geocode_name;lat;lon;factories
ningbo;29.87819;121.54945;9
suzhou;31.30408;120.59538;9
bangkok;13.75398;100.50144;7
dongguan;23.01797;113.74866;7
semarang;-6.99306;110.42083;6
tangerang;-6.17806;106.63;6
qingdao;36.06488;120.38042;6
johor bahru;1.4655;103.7578;5
phnom penh;11.56245;104.91601;4
raiwind;31.24895;74.21534;4
karawang;-6.30525;107.3197;4
yangzhou;32.39722;119.43583;4
busan;35.10168;129.03004;4
putian;25.43944;119.01028;4
zhongshan;34.93806;105.8775;3
long an;23.1685;107.69217;3
san pedro;25.75602;-102.98385;3
colombo;6.93548;79.84868;3
jiaxing;30.7522;120.75;3
yichun;27.83333;114.4;3
shenzhen;22.54554;114.0683;3
sukabumi;-6.91806;106.92667;3
vellore;12.9184;79.13255;3
puebla de zaragoza;19.03793;-98.20346;2
yongzhou;26.42389;111.61306;2
khon kaen;16.44671;102.833;2
wuxi;26.5844;111.859;2
negombo;7.2083;79.8358;2
tay ninh;36.62554;101.75739;2
serang;-6.11528;106.15417;2
jakarta;-6.21462;106.84513;2
taichung;24.1469;120.6839;2
qingyuan;37.61748;112.32583;2
rangpur;25.74664;89.25166;2
samut sakhon;13.54753;100.27362;2
shaoxing;30.00237;120.57864;2
shanghai;31.22222;121.45806;2
taipei;25.04776;121.53185;2
nakhon pathom;13.8196;100.04427;2
bekasi;-6.2349;106.9896;2
bandung;-6.92222;107.60694;2
guatemala city;14.64072;-90.51327;2
guangzhou;23.11667;113.25;2
george town;5.41123;100.33543;2
caborca;30.71825;-112.15822;2
huizhou;23.11147;114.41523;2
sonipat;28.99478;77.01937;1
chaiyaphum;15.81047;102.02881;1
chalchuapa;13.98667;-89.68111;1
seongnam;37.43861;127.13778;1
suqian;33.94917;118.29583;1
changde;29.03205;111.69844;1
subang;-7.1277;108.5283;1
cianjur;-6.82222;107.13944;1
sleman;-7.71556;110.35556;1
shantou;23.36814;116.71479;1
sirmaur;24.83648;81.36448;1
chennai;13.08784;80.27847;1
campeche;19.84386;-90.52554;1
changhua;34.8269;112.43129;1
shaoyang;27.23818;111.46214;1
changzhou;23.48492;111.27413;1
shaoguan;24.8;113.58333;1
istanbul;41.01384;28.94966;1
taoyuan;26.2283;100.56;1
san salvador;20.28583;-99.01457;1
boyolali;-7.53306;110.59583;1
zhenjiang;32.21086;119.45508;1
zaozhuang;34.86472;117.55417;1
yoro;15.1375;-87.12778;1
bang phli;13.60678;100.71201;1
yantai;30.1467;107.3196;1
bangalore;12.97194;77.59369;1
yangju;37.83311;127.06169;1
yancheng;29.74357;103.56679;1
villa victoria;19.43693;-99.99589;1
villa nueva;14.52512;-90.58544;1
bogor;-6.59444;106.78917;1
udon thani;17.41567;102.78589;1
tuzla;36.70074;35.08726;1
tizimin;21.14268;-88.15101;1
tijuana;32.5027;-117.00371;1
thatoom;15.3195;103.67542;1
thai nguyen;37.86944;112.56028;1
colon;28.24167;-105.44361;1
dki jakarta;-6.21462;106.84513;1
dhaka;23.7104;90.40744;1
marmara;40.58633;27.55541;1
guigang;23.11603;109.59472;1
leles;-7.1099;107.8986;1
la paz;10.8925;124.95583;1
kurunegala;7.4839;80.3683;1
kunshan;31.37762;120.95431;1
kimhae;35.23417;128.88111;1
hangzhou;30.29365;120.16142;1
kegalle;7.2523;80.3436;1
heyuan;23.73333;114.68333;1
kaoh kong;11.61531;102.9838;1
kampong speu;11.45332;104.52085;1
horana;6.7159;80.0626;1
johor;1.4655;103.7578;1
jining;35.405;116.58139;1
jiangyin;31.91102;120.26302;1
jiangmen;22.58333;113.08333;1
jepara;-5.16948;105.70441;1
majalengka;-6.83611;108.22778;1
meizhou;24.28859;116.11768;1
indore;22.71792;75.8333;1
mihintale;8.3593;80.5103;1
sam phran;13.72698;100.21526;1
roi et;16.0567;103.65309;1
ratnapura;6.6858;80.4036;1
dong an;44.57883;129.61865;1
ensenada;31.87149;-116.60071;1
fuqing;25.7294;119.37469;1
fuzhou;27.95999;116.33333;1
purwakarta;-6.55694;107.44333;1
guadalajara;20.66682;-103.39182;1
pingxiang;35.2079;105.25058;1
phichit;16.44184;100.34879;1
nong bua lamphu;17.20406;102.44068;1
guatemala;14.56111;-90.73444;1
nasr city;30.06667;31.3;1
nanchang;28.68396;115.85306;1
nakhon ratchasima;14.97066;102.10196;1
baca;21.10874;-89.39866;1
alexandria;31.20176;29.91582;1
