geocode_name;lat;lon;workers
bangkok;13.75398;100.50144;11500
dong nai;11.57981;107.36518;10000
rangpur;25.74664;89.25166;10000
di an;50.3048;3.44796;5000
bogor;-6.59444;106.78917;5000
quanzhou;25.93545;111.06752;5000
phnom penh;11.56245;104.91601;5000
foshan;23.02677;113.13148;4500
shenzhen;22.54554;114.0683;4000
ho chi minh city;10.82302;106.62965;3500
jalandhar;31.32556;75.57917;3000
vellore;12.9184;79.13255;2500
quang nam;15.88853;108.25447;2500
quang ninh;17.40438;106.64072;2500
sukabumi;-6.91806;106.92667;2500
bac giang;21.27307;106.1946;2500
karawang;-6.30525;107.3197;2500
hung yen;20.64637;106.05112;2500
zhaoqing;23.04893;112.46091;2500
haiphong;20.86481;106.68345;2500
boyolali;-7.53306;110.59583;2500
yunfu;22.92787;112.03809;2500
western;39.48537;-79.04475;2500
gampaha;7.0897;79.9925;2500
nanjing;32.06167;118.77778;2000
sialkot;32.49268;74.53134;2000
dongguan;23.01797;113.74866;2000
nantong;32.03028;120.87472;2000
suzhou;31.30408;120.59538;1500
ningbo;29.87819;121.54945;1000
thiruvallur;13.14376;79.90889;1000
guangzhou;23.11667;113.25;1000
tangerang;-6.17806;106.63;1000
tay ninh;11.31004;106.09828;1000
taichung;24.1469;120.6839;500
wuxi;26.5844;111.859;500
xianning;29.84347;114.32201;500
yancheng;29.74357;103.56679;500
vu thu;20.43671;106.29116;500
thai binh;20.45;106.34002;500
tirupur;11.11541;77.35456;500
antalya;36.90812;30.69556;500
shaoxing;30.00237;120.57864;500
qingdao;36.06488;120.38042;500
mumbai;19.07283;72.88261;500
jining;35.405;116.58139;500
jiangmen;22.58333;113.08333;500
huidong;26.63745;102.57568;500
ho chi minh;10.82302;106.62965;500
heshan;28.5825;112.35028;500
hangzhou;30.29365;120.16142;500
hai duong;20.94099;106.33302;500
guanyin;29.09926;104.39416;500
dongshan;33.76081;104.43412;500
chiayi;23.47917;120.44889;500
chennai;13.08784;80.27847;500
can duoc;10.50966;106.60308;500
nanchang;28.68396;115.85306;500
